video_name,stage,t,t_next,lpips_temporal,optical_flow_consistency_l1,psnr_consecutive,ssim_consecutive
lime_input,original,0,1,0.019221704453229904,0.0046228147111833096,29.559104986659563,0.9465205669403076
lime_input,original,1,2,0.030695609748363495,0.00611837999895215,26.44810514373756,0.9104785323143005
lime_input,original,2,3,0.024196159094572067,0.004729576408863068,27.719644632447547,0.9185591340065002
lime_input,original,3,4,0.033086877316236496,0.005508136469870806,25.914123258118124,0.8884056210517883
lime_input,original,4,5,0.01767602190375328,0.004111903719604015,28.596108244009294,0.9256241321563721
lime_input,original,5,6,0.02423139102756977,0.005090393591672182,27.812650790399292,0.9173387885093689
lime_input,original,6,7,0.011627175845205784,0.004737816751003265,31.055919856867394,0.9529182314872742
lime_input,original,7,8,0.018332157284021378,0.005552603863179684,29.691825601095495,0.9394997954368591
lime_input,original,8,9,0.012489118613302708,0.004138781223446131,32.91017010766336,0.9685021042823792
lime_input,original,9,10,0.02303256466984749,0.007225134875625372,28.777280525327868,0.9448120594024658
lime_input,original,10,11,0.04264020174741745,0.009059703908860683,26.189079610599684,0.8916733264923096
