video_name,stage,t,t_next,lpips_temporal,optical_flow_consistency_l1,psnr_consecutive,ssim_consecutive
lime_inpainted,inpainted,0,1,0.016192113980650902,0.004604026209563017,30.553904535029858,0.9494002461433411
lime_inpainted,inpainted,1,2,0.026592647656798363,0.006075261626392603,27.422467327884817,0.9160823225975037
lime_inpainted,inpainted,2,3,0.025618232786655426,0.005143285728991032,27.984082280471334,0.9204366207122803
lime_inpainted,inpainted,3,4,0.03320042043924332,0.006014432292431593,26.246380457472902,0.88983154296875
lime_inpainted,inpainted,4,5,0.030028466135263443,0.00576314702630043,27.592389214901544,0.9230213761329651
lime_inpainted,inpainted,5,6,0.026895863935351372,0.0062664165161550045,27.463581356655634,0.9149899482727051
lime_inpainted,inpainted,6,7,0.011369513347744942,0.004763840697705746,31.53592520495017,0.956043004989624
lime_inpainted,inpainted,7,8,0.018080268055200577,0.0058626639656722546,30.124321178557466,0.9440503120422363
lime_inpainted,inpainted,8,9,0.011619302444159985,0.004066681955009699,33.52061386746198,0.9718525409698486
lime_inpainted,inpainted,9,10,0.021508049219846725,0.0065408870577812195,29.592908195657607,0.95069819688797
lime_inpainted,inpainted,10,11,0.0379466749727726,0.010230248793959618,26.399817481174125,0.888732373714447
